이름,가격,면적 및 층수,센터명칭
지식산업센터,"2,714/226","359/201m², 4/7층",정보없음
지식산업센터,"2,000/120","207/107m², 2/7층",정보없음
지식산업센터,"2,700/226","359/187m², 4/7층",정보없음
지식산업센터,"1,440/120","139/72m², 7/7층",정보없음
지식산업센터,"2,713/226","359/187m², 4/7층",정보없음
