이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,500/45,"88/45m², 8/10층",부천옥길서영아너시티2,88,45,8,10,월세,500,45.0,
지식산업센터,"1억 5,000","84/42m², 7/10층",부천옥길서영아너시티2,84,42,7,10,매매,,,"1억 5,000"
지식산업센터,500/45,"60/30m², 2/10층",더플랫폼R,60,30,2,10,월세,500,45.0,
지식산업센터,500/40,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,40.0,
지식산업센터,"1억 7,000","102/50m², 6/10층",우성테크노파크Ⅰ,102,50,6,10,매매,,,"1억 7,000"
지식산업센터,"1억 7,000","80/39m², 4/10층",골든IT타워,80,39,4,10,매매,,,"1억 7,000"
지식산업센터,"1억 7,000","68/34m², 9/10층",부천옥길서영아너시티2,68,34,9,10,매매,,,"1억 7,000"
지식산업센터,600/60,"38/38m², 4/10층",더플랫폼R,38,38,4,10,월세,600,60.0,
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,"4억 2,000","215/105m², 3/10층",우성테크노파크Ⅰ,215,105,3,10,매매,,,"4억 2,000"
지식산업센터,"1,000/90","189/94m², B2/10층",광양프런티어밸리5차지식산업센터,189,94,B2,10,월세,"1,000",90.0,
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,500/45,"78/38m², 5/10층",우성테크노파크Ⅰ,78,38,5,10,월세,500,45.0,
지식산업센터,"1억 5,000","91/45m², 4/10층",부천옥길서영아너시티2,91,45,4,10,매매,,,"1억 5,000"
지식산업센터,"4,000","33/16m², B3/10층",부천옥길서영아너시티2,33,16,B3,10,월세,"4,000",,
지식산업센터,"1억 3,000","81/39m², 6/10층",우성테크노파크Ⅰ,81,39,6,10,매매,,,"1억 3,000"
지식산업센터,"1억 8,000","68/34m², 7/10층",부천옥길서영아너시티2,68,34,7,10,매매,,,"1억 8,000"
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,"1억 5,000","68/34m², 7/10층",부천옥길서영아너시티2,68,34,7,10,매매,,,"1억 5,000"
지식산업센터,"1억 4,500","81/39m², 8/10층",우성테크노파크Ⅰ,81,39,8,10,매매,,,"1억 4,500"
지식산업센터,500/40,"69/34m², 3/10층",우성테크노파크Ⅰ,69,34,3,10,월세,500,40.0,
지식산업센터,"1억 2,500","69/34m², 3/10층",우성테크노파크Ⅰ,69,34,3,10,매매,,,"1억 2,500"
지식산업센터,"1억 2,000","81/39m², 4/10층",우성테크노파크Ⅰ,81,39,4,10,매매,,,"1억 2,000"
지식산업센터,500/60,"102/50m², 3/10층",우성테크노파크Ⅰ,102,50,3,10,월세,500,60.0,
지식산업센터,"1억 5,000","102/50m², 10/10층",우성테크노파크Ⅰ,102,50,10,10,매매,,,"1억 5,000"
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,500/50,"86/43m², 3/10층",더플랫폼R,86,43,3,10,월세,500,50.0,
지식산업센터,500/50,"80/40m², 3/10층",더플랫폼R,80,40,3,10,월세,500,50.0,
